 ,X,Y
1,2.500,2.500
2,7.500,2.500
3,12.500,2.500
4,17.500,2.500
5,22.500,2.500
6,27.500,2.500
7,32.500,2.500
8,37.500,2.500
9,42.500,2.500
10,47.500,2.500
11,52.500,2.500
12,57.500,2.500
13,62.500,2.500
14,67.500,2.500
15,72.500,2.500
16,77.500,2.500
17,82.500,2.500
18,87.500,2.500
19,92.500,2.500
20,97.500,2.500
21,102.500,2.500
22,107.500,2.500
23,112.500,2.500
24,117.500,2.500
25,122.500,2.500
26,127.500,2.500
27,132.500,2.500
28,137.500,2.500
29,142.500,2.500
30,147.500,2.500
31,152.500,2.500
32,157.500,2.500
33,162.500,2.500
34,167.500,2.500
35,172.500,2.500
36,2.500,7.500
37,7.500,7.500
38,12.500,7.500
39,17.500,7.500
40,22.500,7.500
41,27.500,7.500
42,32.500,7.500
43,37.500,7.500
44,42.500,7.500
45,47.500,7.500
46,52.500,7.500
47,57.500,7.500
48,62.500,7.500
49,67.500,7.500
50,72.500,7.500
51,77.500,7.500
52,82.500,7.500
53,87.500,7.500
54,92.500,7.500
55,97.500,7.500
56,102.500,7.500
57,107.500,7.500
58,112.500,7.500
59,117.500,7.500
60,122.500,7.500
61,127.500,7.500
62,132.500,7.500
63,137.500,7.500
64,142.500,7.500
65,147.500,7.500
66,152.500,7.500
67,157.500,7.500
68,162.500,7.500
69,167.500,7.500
70,172.500,7.500
71,2.500,12.500
72,7.500,12.500
73,12.500,12.500
74,17.500,12.500
75,22.500,12.500
76,27.500,12.500
77,32.500,12.500
78,37.500,12.500
79,42.500,12.500
80,47.500,12.500
81,52.500,12.500
82,57.500,12.500
83,62.500,12.500
84,67.500,12.500
85,72.500,12.500
86,77.500,12.500
87,82.500,12.500
88,87.500,12.500
89,92.500,12.500
90,97.500,12.500
91,102.500,12.500
92,107.500,12.500
93,112.500,12.500
94,117.500,12.500
95,122.500,12.500
96,127.500,12.500
97,132.500,12.500
98,137.500,12.500
99,142.500,12.500
100,147.500,12.500
101,152.500,12.500
102,157.500,12.500
103,162.500,12.500
104,167.500,12.500
105,172.500,12.500
106,2.500,17.500
107,7.500,17.500
108,12.500,17.500
109,17.500,17.500
110,22.500,17.500
111,27.500,17.500
112,32.500,17.500
113,37.500,17.500
114,42.500,17.500
115,47.500,17.500
116,52.500,17.500
117,57.500,17.500
118,62.500,17.500
119,67.500,17.500
120,72.500,17.500
121,77.500,17.500
122,82.500,17.500
123,87.500,17.500
124,92.500,17.500
125,97.500,17.500
126,102.500,17.500
