 ,sec,FRED,GCaMP8s
1,0.000,6.895,172.182
2,1800.000,6.889,171.623
3,3600.000,6.881,177.384
4,5400.000,6.866,170.587
5,7200.000,6.848,170.314
6,9000.000,6.858,170.196
7,10800.000,6.858,175.541
8,12600.000,6.851,175.096
9,14400.000,6.848,174.564
10,16200.000,6.858,174.480
11,18000.000,6.841,174.551
12,19800.000,6.820,174.765
13,21600.000,6.820,177.219
14,23400.000,6.824,181.035
15,25200.000,6.818,185.935
16,27000.000,6.819,191.834
17,28800.000,6.816,198.430
18,30600.000,6.787,204.547
19,32400.000,6.783,214.943
20,34200.000,6.798,223.027
21,36000.000,6.780,228.908
22,37800.000,6.757,235.133
23,39600.000,6.768,241.999
24,41400.000,6.748,248.859
25,43200.000,6.758,255.907
26,45000.000,6.741,261.932
27,46800.000,6.735,266.635
28,48600.000,6.727,268.447
29,50400.000,6.741,267.863
30,52200.000,6.730,266.064
31,54000.000,6.714,262.447
32,55800.000,6.721,257.445
33,57600.000,6.717,251.032
34,59400.000,6.721,242.497
35,61200.000,6.720,233.115
36,63000.000,6.715,222.108
37,64800.000,6.728,210.944
38,66600.000,6.743,200.226
39,68400.000,6.738,190.832
40,70200.000,6.741,182.389
41,72000.000,6.765,171.098
42,73800.000,6.743,168.119
43,75600.000,6.738,166.118
44,77400.000,6.751,164.384
45,79200.000,6.701,162.981
46,81000.000,6.756,162.989
47,82800.000,6.754,162.737
48,84600.000,6.706,161.306
49,86400.000,6.715,161.518
50,88200.000,6.701,160.710
51,90000.000,6.678,160.546
52,91800.000,6.673,160.311
53,93600.000,6.684,160.350
54,95400.000,6.664,160.065
55,97200.000,6.701,161.497
56,99000.000,6.698,161.672
57,100800.000,6.687,164.058
58,102600.000,6.668,164.839
59,104400.000,6.692,165.671
60,106200.000,6.666,166.767
61,108000.000,6.676,169.793
62,109800.000,6.664,175.190
63,111600.000,6.657,180.363
64,113400.000,6.655,186.957
65,115200.000,6.655,194.122
66,117000.000,6.638,201.465
67,118800.000,6.621,211.500
68,120600.000,6.626,218.891
69,122400.000,6.604,223.901
70,124200.000,6.599,230.993
71,126000.000,6.603,237.211
72,127800.000,6.601,245.132
73,129600.000,6.595,251.661
74,131400.000,6.592,258.177
75,133200.000,6.583,261.219
76,135000.000,6.586,261.741
77,136800.000,6.574,260.642
78,138600.000,6.555,258.440
79,140400.000,6.560,253.741
80,142200.000,6.576,247.362
81,144000.000,6.554,239.059
82,145800.000,6.557,229.306
83,147600.000,6.573,219.076
84,149400.000,6.580,208.229
85,151200.000,6.581,197.829
86,153000.000,6.580,187.489
87,154800.000,6.579,171.892
88,156600.000,6.591,165.654
89,158400.000,6.583,162.563
90,160200.000,6.573,160.155
91,162000.000,6.570,158.568
92,163800.000,6.574,157.667
93,165600.000,6.559,156.703
94,167400.000,6.550,155.851
95,169200.000,6.552,155.673
96,171000.000,6.544,155.477
97,172800.000,6.533,155.310
98,174600.000,6.552,154.743
99,176400.000,6.496,154.943
100,178200.000,6.517,155.128
101,180000.000,6.537,155.276
102,181800.000,6.502,155.171
103,183600.000,6.504,155.517
104,185400.000,6.512,156.079
105,187200.000,6.495,158.485
106,189000.000,6.488,158.839
107,190800.000,6.484,160.058
108,192600.000,6.472,161.631
109,194400.000,6.457,166.139
110,196200.000,6.461,171.162
111,198000.000,6.454,178.836
112,199800.000,6.460,186.093
113,201600.000,6.451,193.665
114,203400.000,6.437,202.922
115,205200.000,6.425,210.542
116,207000.000,6.419,216.443
117,208800.000,6.391,222.768
118,210600.000,6.393,229.353
119,212400.000,6.393,236.975
120,214200.000,6.385,244.081
121,216000.000,6.398,250.930
122,217800.000,6.399,254.916
123,219600.000,6.378,257.237
124,221400.000,6.371,256.651
125,223200.000,6.383,254.943
126,225000.000,6.355,250.409
127,226800.000,6.364,245.235
128,228600.000,6.380,237.487
129,230400.000,6.342,228.001
130,232200.000,6.357,218.275
131,234000.000,6.380,207.457
132,235800.000,6.378,197.045
133,237600.000,6.367,184.561
134,239400.000,6.396,168.923
135,241200.000,6.382,161.914
136,243000.000,6.368,157.864
137,244800.000,6.398,156.375
138,246600.000,6.361,154.418
139,248400.000,6.359,152.985
140,250200.000,6.370,152.018
141,252000.000,6.358,151.861
142,253800.000,6.347,151.704
143,255600.000,6.355,151.032
144,257400.000,6.343,151.293
