 ,sec,FRED,GCaMP8s
1,0.000,7.946,272.619
2,1800.000,7.930,279.821
3,3600.000,7.932,287.435
4,5400.000,7.962,295.010
5,7200.000,7.921,304.312
6,9000.000,7.906,312.668
7,10800.000,7.911,321.845
8,12600.000,7.910,329.101
9,14400.000,7.914,338.210
10,16200.000,7.910,347.027
11,18000.000,7.894,355.891
12,19800.000,7.897,360.116
13,21600.000,7.916,365.620
14,23400.000,7.928,370.656
15,25200.000,7.888,372.696
16,27000.000,7.895,375.322
17,28800.000,7.881,378.552
18,30600.000,7.874,378.579
19,32400.000,7.875,377.222
20,34200.000,7.884,375.335
21,36000.000,7.863,370.964
22,37800.000,7.847,366.339
23,39600.000,7.874,360.437
24,41400.000,7.860,351.853
25,43200.000,7.864,344.791
26,45000.000,7.848,335.399
27,46800.000,7.856,326.561
28,48600.000,7.848,318.402
29,50400.000,7.848,305.759
30,52200.000,7.833,293.236
31,54000.000,7.833,283.824
32,55800.000,7.827,274.885
33,57600.000,7.825,268.737
34,59400.000,7.800,262.676
35,61200.000,7.824,258.668
36,63000.000,7.796,255.350
37,64800.000,7.800,252.696
38,66600.000,7.799,250.950
39,68400.000,7.773,250.063
40,70200.000,7.770,250.522
41,72000.000,7.768,251.469
42,73800.000,7.731,252.030
43,75600.000,7.753,252.274
44,77400.000,7.771,253.782
45,79200.000,7.747,257.476
46,81000.000,7.746,260.495
47,82800.000,7.749,264.587
48,84600.000,7.718,269.960
49,86400.000,7.725,277.710
50,88200.000,7.735,286.866
51,90000.000,7.713,296.880
52,91800.000,7.717,306.142
53,93600.000,7.721,315.170
54,95400.000,7.704,322.912
55,97200.000,7.712,332.571
56,99000.000,7.711,338.989
57,100800.000,7.684,348.069
58,102600.000,7.674,354.335
59,104400.000,7.677,362.185
60,106200.000,7.666,366.069
61,108000.000,7.651,369.005
62,109800.000,7.678,372.701
63,111600.000,7.667,373.321
64,113400.000,7.666,374.183
65,115200.000,7.675,374.047
66,117000.000,7.664,372.993
67,118800.000,7.655,370.339
68,120600.000,7.655,368.733
69,122400.000,7.656,363.337
70,124200.000,7.650,357.817
71,126000.000,7.657,350.859
72,127800.000,7.659,343.313
73,129600.000,7.658,335.559
74,131400.000,7.640,326.214
75,133200.000,7.619,315.361
76,135000.000,7.641,306.472
77,136800.000,7.625,295.186
78,138600.000,7.628,284.787
79,140400.000,7.635,274.738
80,142200.000,7.628,269.320
81,144000.000,7.606,262.628
82,145800.000,7.592,258.430
83,147600.000,7.608,255.820
84,149400.000,7.596,254.333
85,151200.000,7.579,252.169
86,153000.000,7.579,252.048
87,154800.000,7.553,251.916
88,156600.000,7.557,252.263
89,158400.000,7.557,252.771
90,160200.000,7.526,254.529
91,162000.000,7.544,256.450
92,163800.000,7.533,260.121
93,165600.000,7.518,263.784
94,167400.000,7.523,266.836
95,169200.000,7.524,273.611
96,171000.000,7.529,281.865
97,172800.000,7.509,290.873
98,174600.000,7.511,299.528
99,176400.000,7.511,309.740
100,178200.000,7.502,321.929
101,180000.000,7.524,328.813
102,181800.000,7.489,337.770
103,183600.000,7.493,346.166
104,185400.000,7.491,353.083
105,187200.000,7.503,361.015
106,189000.000,7.470,367.202
107,190800.000,7.483,371.197
108,192600.000,7.461,375.553
109,194400.000,7.464,378.261
110,196200.000,7.450,377.097
111,198000.000,7.449,377.133
112,199800.000,7.445,375.352
113,201600.000,7.445,372.400
114,203400.000,7.440,369.774
115,205200.000,7.438,367.542
116,207000.000,7.442,361.341
117,208800.000,7.441,354.129
118,210600.000,7.441,347.404
119,212400.000,7.440,339.352
120,214200.000,7.450,331.225
121,216000.000,7.412,321.388
122,217800.000,7.422,312.706
123,219600.000,7.410,302.735
124,221400.000,7.419,292.550
125,223200.000,7.404,282.895
126,225000.000,7.403,272.799
127,226800.000,7.392,265.977
128,228600.000,7.406,261.026
129,230400.000,7.393,258.403
130,232200.000,7.383,255.258
131,234000.000,7.368,252.668
132,235800.000,7.367,252.720
133,237600.000,7.349,253.105
134,239400.000,7.374,252.596
135,241200.000,7.353,253.614
136,243000.000,7.341,254.873
137,244800.000,7.341,256.041
138,246600.000,7.331,257.908
139,248400.000,7.324,262.041
140,250200.000,7.336,266.034
141,252000.000,7.312,269.403
142,253800.000,7.318,276.386
143,255600.000,7.320,284.456
144,257400.000,7.295,291.689
