 ,X,Y
1,2.500,2.500
2,7.500,2.500
3,12.500,2.500
4,17.500,2.500
5,22.500,2.500
6,27.500,2.500
7,32.500,2.500
8,37.500,2.500
9,42.500,2.500
10,47.500,2.500
11,52.500,2.500
12,57.500,2.500
13,62.500,2.500
14,67.500,2.500
15,72.500,2.500
16,77.500,2.500
17,82.500,2.500
18,87.500,2.500
19,92.500,2.500
20,97.500,2.500
21,102.500,2.500
22,107.500,2.500
23,111.000,2.500
24,2.500,7.500
25,7.500,7.500
26,12.500,7.500
27,17.500,7.500
28,22.500,7.500
29,27.500,7.500
30,32.500,7.500
31,37.500,7.500
32,42.500,7.500
33,47.500,7.500
34,52.500,7.500
35,57.500,7.500
36,62.500,7.500
37,67.500,7.500
38,72.500,7.500
39,77.500,7.500
40,82.500,7.500
41,87.500,7.500
42,92.500,7.500
43,97.500,7.500
44,102.500,7.500
45,107.500,7.500
46,111.000,7.500
47,2.500,12.500
48,7.500,12.500
49,12.500,12.500
50,17.500,12.500
51,22.500,12.500
52,27.500,12.500
53,32.500,12.500
54,37.500,12.500
55,42.500,12.500
56,47.500,12.500
57,52.500,12.500
58,57.500,12.500
59,62.500,12.500
60,67.500,12.500
61,72.500,12.500
62,77.500,12.500
63,82.500,12.500
64,87.500,12.500
65,92.500,12.500
66,97.500,12.500
67,102.500,12.500
68,107.500,12.500
69,111.000,12.500
70,2.500,17.500
71,7.500,17.500
72,12.500,17.500
73,17.500,17.500
74,22.500,17.500
75,27.500,17.500
76,32.500,17.500
77,37.500,17.500
78,42.500,17.500
79,47.500,17.500
80,52.500,17.500
81,57.500,17.500
82,62.500,17.500
83,67.500,17.500
84,72.500,17.500
85,77.500,17.500
86,82.500,17.500
87,87.500,17.500
88,92.500,17.500
89,97.500,17.500
90,102.500,17.500
91,107.500,17.500
92,111.000,17.500
93,2.500,22.500
94,7.500,22.500
95,12.500,22.500
96,17.500,22.500
97,22.500,22.500
98,27.500,22.500
99,32.500,22.500
100,37.500,22.500
101,42.500,22.500
102,47.500,22.500
103,52.500,22.500
104,57.500,22.500
105,62.500,22.500
106,67.500,22.500
107,72.500,22.500
108,77.500,22.500
109,82.500,22.500
110,87.500,22.500
111,92.500,22.500
112,97.500,22.500
113,102.500,22.500
114,107.500,22.500
115,111.000,22.500
116,2.500,27.500
117,7.500,27.500
118,12.500,27.500
119,17.500,27.500
120,22.500,27.500
121,27.500,27.500
122,32.500,27.500
123,37.500,27.500
124,42.500,27.500
125,47.500,27.500
126,52.500,27.500
